rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_cdp_pcd_min,active_cdp_pcd_mean,parameter_count,training_time_s,config_hash
14,64,TRIAL_0064_CDP_NEG,0.7225905571979143,A,True,0.7139918702759385,0.7424062784136637,0.7592899470923096,0.04455443200978953,0.8834272163591358,0.4671403505274518,0.03937703877638922,100.0,100.0,39427,1142.3224243000004,d4c8e37f9bc57be7d40fa0dfb972783d9fd9721b6659395958edb54c15c63dca
15,30,TRIAL_0030_CDP_NEG,0.7215392637876914,A,True,0.7091094067234742,0.7488536081741173,0.7601218083339748,0.04594643532025756,0.8813938853872271,0.4703885834420102,0.04383505798806193,99.951171875,99.990234375,45427,781.4041943999982,198c743626502e10eefe09c5d0f58c1fd65bcfc3e75f4c24a323be794c64e642
16,79,TRIAL_0079_CDP_NEG,0.7204146427355086,B,True,0.7100948349016456,0.7431679344530634,0.7622354378326207,0.04816182324659865,0.8777865578987264,0.46951906534620685,0.04378840797017836,95.5078125,98.046875,68961,258.9987526999903,f1bf5bc93221f8b0bdb53589020294c6008a36711edea6f983ef468929145c00
17,21,TRIAL_0021_CDP_NEG,0.6801423441610579,A,True,0.667128932854854,0.7080730711424277,0.7393372121674597,0.06490658111328722,0.9188781372115866,0.5276351407787071,0.05246123786567368,99.267578125,99.78515625,9379,1937.0335228999902,9360f4bf239bd81170b140259ffb1f767332d70079e36596e72db8296de9d39c
18,4,TRIAL_0004_CDP_NEG,0.6718171014913734,B,True,0.6609251420106237,0.6953694957893002,0.7190889710625518,0.052577295580460405,0.9545832253730262,0.5598849174607432,0.05784909480450806,97.265625,98.359375,54915,30.905084400001215,46f4393789d56fe7cb4f8fb97c0f6def81d31823068324a29caf55e4c87e939e
19,19,TRIAL_0019_CDP_NEG,0.66194484419207,A,True,0.6486201935857177,0.6919565234244517,0.700599408574959,0.048741698441920035,0.9847218993312022,0.5688448695016846,0.06215454609450706,99.951171875,99.98046875,76195,343.66619950000313,6bf4665f95a8271145f6090f9b26edb09a357f08dcd4f16ebfaf27fc520e6a6b
20,16,TRIAL_0016_CDP_NEG,0.6541075940397272,A,True,0.6443596330029646,0.6773307578879475,0.6945322124472705,0.05160634373162863,0.9950972453613683,0.5970134417317228,0.033369865576812346,100.0,100.0,93025,26.488250599999446,ac66d8537a28d1722177518ffee6a638178b3739ce0045d923b5ccf9031272e4
21,14,TRIAL_0014_CDP_NEG,0.6474895321405376,B,True,0.6322067787609955,0.681376263450916,0.6903772131570527,0.05285135467039692,1.0011408642322297,0.606853855289763,0.09626962955283039,96.38671875,98.388671875,41763,406.00125090000074,e45ea0901d1b80004ca66e81ba48c742e8304d5ed384c96472d24ced8814817a
22,12,TRIAL_0012_CDP_NEG,0.6107431198370085,A,True,0.5950692869511395,0.6442751864499238,0.6502996459591943,0.046109728645717975,1.0642197049669133,0.6573580536529283,0.050120276060146685,100.0,100.0,53315,599.3438367999988,d4e54190c73eb7cd81c89daf9d750df441befa3bae2d067fdb0a324b57fa124b
23,11,TRIAL_0011_CDP_NEG,0.4239985994776102,B,True,0.4111546748842825,0.4510893536538122,0.4517946194272759,0.032004734918304786,1.3267779703535916,1.0405738013003347,0.7671834118918802,97.412109375,98.3203125,29571,545.1932515999943,c1ece65d324ffe8ef4b075046df85ccd993920781c163886f222de117b539f04
